País,WMO,ICAO,Estação,Latitude,Longitude,Altitude
BZ,82861,SBAA,CONCEICAO DO ARAGUAIA,-8.35,-49.3,157
BZ,83748,SBAF,AFONSOS(AEROPORTO),22.87,-43.37,34
BZ,82030,SBAM,AMAPA,2.07,-50.85,10
BZ,83419,SBAN,ANAPOLIS (AEROPORTO),16.22,-48.97,1137
BZ,-,SBAQ,ARARAQUARA-S,21.8,-48.13,708
BZ,83095,SBAR,ARACAJU (AEROPORTO),10.97,-37.07,9
BZ,-,SBAS,ASSIS - S,22.63,-50.45,564
BZ,82965,SBAT,ALTA FLORESTA (AEROPORTO),-9.87,-56.1,288
BZ,83672,SBAU,ARACATUBA,21.13,-50.43,397
BZ,-,SBAX,ARAXA-M,19.57,-46.97,999
BZ,82816,SBBA,BOCADOACRE,-8.72,-67.32,112
BZ,82410,SBBC,BENJAMIN CONSTANT,-4.37,-70.02,65
BZ,82193,SBBE,BELEM (AEROPORTO),-1.37,-48.47,16
BZ,83981,SBBG,BAGE (AEROPORTO),31.38,-54.12,180
BZ,83583,SBBH,BELO HORIZONTE (AEROP. PAMPULHA),19.85,-43.95,785
BZ,83842,SBBI,CURITIBA,25.4,-49.23,924
BZ,83689,SBBQ,BARBACENA,21.25,-43.77,1171
BZ,83378,SBBR,BRASILIA (AEROPORTO),15.87,-47.92,1061
BZ,83625,SBBT,BARRETOS,20.58,-48.6,541
BZ,83722,SBBU,BAURU (AEROPORTO),22.32,-49.07,615
BZ,82022,SBBV,BOA VISTA (AEROPORTO),2.85,-60.7,140
BZ,83359,SBBW,BARRA DO GARCAS,15.87,-52.37,350
BZ,-,SBBZ,BUZIOS-RJ (AER. UMBERTO MODIANO,-22.75,-41.95,3
BZ,-,SBCA,CASCAVEL-PR,25,-53.5,754
BZ,-,SBCB,CABO FRIO,22.92,-42.08,4
BZ,82930,SBCC,CACHIMBO (AEROPORTO),-9.35,-54.88,537
BZ,-,SBCD,CACADOR,26.78,-50.93,1029
BZ,83566,SBCF,CONFIS (AEROPORTO),19.63,-43.97,828
BZ,83612,SBCG,CAMPO GRANDE (AEROPORTO),20.47,-54.67,567
BZ,83883,SBCH,CHAPECO,27.13,-52.67,679
BZ,82764,SBCI,CAROLINA (AEROPORTO),-7.32,-47.47,183
BZ,82567,SBCJ,CARAJAS (AEROPORTO),-6.12,-50,621
BZ,83912,SBCL,CRUZ ALTA,-28.63,-53.6,464
BZ,-,SBCM,FORQUILHINHA,28.72,-49.42,28
BZ,-,SBCN,CRICIUMA-SC (AER. FORQUILINHA,-28.72,-49.42,28
BZ,83952,SBCO,CANOAS,29.95,-51.15,9
BZ,83698,SBCP,CAMPOS,21.7,-41.3,11
BZ,83552,SBCR,CORUMBA,19,-57.67,130
BZ,83840,SBCT,CURITIBA (AEROPORTO),25.52,-49.17,908
BZ,83497,SBCV,CARAVELAS (AEROPORTO),17.62,-39.25,4
BZ,-,SBCX,CAXIAS DO SUL - AER. CAMPO DOS B,29.2,-51.18,754
BZ,83362,SBCY,CUIABA (AEROPORTO),15.65,-56.12,187
BZ,82705,SBCZ,CRUZEIRO DO SUL (AEROPORTO,-7.62,-72.77,199
BZ,83716,SBDN,PRESIDENTE PRUDENTE,22.18,-51.43,436
BZ,-,SBEC,PIRANA P15 OIL,22.67,-40.6,10
BZ,82333,SBEG,MANAUS (AEROPORTO EDUARDO GOMES),-3.02,-60.03,85
BZ,82640,SBEK,JACAREACANGA,-6.23,-57.78,98
BZ,82610,SBER,EIRUNEPE,-6.67,-69.87,104
BZ,83759,SBES,SAO PEDRO DA ALDEIA (AEROPORTO),22.82,-42.1,11
BZ,83630,SBFC,FRANCA,-20.58,-47.43,1026
BZ,83827,SBFI,FOZ DO IGUACU (AEROPORTO),25.6,-54.48,180
BZ,83899,SBFL,FLORIANOPOLIS (AEROPORTO),27.67,-48.53,5
BZ,82400,SBFN,FERNANDO DE NORONHA,-3.85,-32.42,56
BZ,82678,SBFO,FLORIANO,-6.77,-43.02,127
BZ,83103,SBFS,CAMPOS DOS GOITACAZES,-22.02,-41.07,17
BZ,-,SBFT,FRONTERA-MG,20.28,-49.18,487
BZ,-,SBFU,SAO JOSE DA BARRA - MG (AER. FUR,20.68,-46.32,735
BZ,82398,SBFZ,FORTALEZA (AEROPORTO),-3.77,-38.52,25
BZ,83375,SBGA,GAMA,16.05,-48.03,700
BZ,83746,SBGL,RIO DE JANEIRO (AER.GALEAO),22.82,-43.25,6
BZ,83016,SBGM,GUAJARA MIRIM (AEROPORTO),10.78,-65.28,146
BZ,83423,SBGO,GOIANIA,16.62,-49.22,741
BZ,-,SBGP,GAVIAO PEIXOTO,21.77,-48.4,609
BZ,83778,SBGR,SAO PAULO (AEROP. DE GUARULHOS),23.42,-46.47,750
BZ,83837,SBGS,PONTA GROSSA,-25.1,-50.17,868
BZ,-,SBGU,GUARAPUAVA-PR (AER. TANCREDO T.,25.38,-51.52,1065
BZ,-,SBGV,GOVERNADOR VALADARE,18.88,-41.98,171
BZ,83708,SBGW,GUARATINGUETA (AEROPORTO),22.77,-45.2,537
BZ,82353,SBHT,ALTAMIRA,-3.25,-52.27,74
BZ,82335,SBIC,ITACOATIARA (AEROPORTO),-3.12,-58.47,43
BZ,82444,SBIH,ITAITUBA (AEROPORTO),-4.25,-56,33
BZ,83348,SBIL,ILHEUS,14.8,-39.02,60
BZ,-,SBIP,SANTANA DO PARAISO (AER. USIMINA,19.47,-42.48,239
BZ,-,SBIT,ITUMBIARA,18.43,-49.2,497
BZ,82564,SBIZ,IMPERATRIZ,-5.52,-47.45,123
BZ,83692,SBJF,JUIZ DE FORA,21.77,-43.38,939
BZ,82798,SBJP,JOAO PESSOA,-7.15,-34.95,7
BZ,83054,SBJR,JACAREPAGUA (AEROPORTO),22.97,-43.37,3
BZ,-,SBJU,JOAZEIRO DO NORTEAER. CARIRI CE,-7.22,-39.27,409
BZ,83905,SBJV,JOINVILLE,26.22,-48.8,4
BZ,82795,SBKG,CAMPINA GRANDE,-7.27,-35.87,548
BZ,83721,SBKP,CAMPINAS (AEROPORTO),23,-47.12,661
BZ,82723,SBLB,LABREA,-7.25,-64.83,60
BZ,-,SBLE,LENCOIS. AEROP. CHAPADA DIAMANTI,12.48,-41.28,511
BZ,-,SBLJ,LAGES,27.78,-50.28,934
BZ,83674,SBLN,LINS,21.67,-49.75,426
BZ,83768,SBLO,LONDRINA (AEROPORTO),23.32,-51.12,569
BZ,83288,SBLP,BOM JESUS DA LAPA,13.27,-43.42,440
BZ,83588,SBLS,LAGOA SANTA,19.67,-43.88,852
BZ,82562,SBMA,MARABA,-5.37,-49.13,95
BZ,-,SBMC,MINACU,13.55,-48.2,440
BZ,82091,SBMD,MONTE DOURADO,-0.87,-52.6,206
BZ,83749,SBME,MACAE (AEROPORTO),22.35,-41.77,2
BZ,83767,SBMG,MARINGA,23.48,-52.02,542
BZ,83437,SBMK,MONTES CLAROS,16.7,-43.82,646
BZ,-,SBML,MARILHA - SP,22.18,-49.92,647
BZ,-,SBMM,MARLIM P20 OIL,22.35,-40.08,10
BZ,82332,SBMN,MANAUS (AEROPORTO PONTA PELADA),-3.13,-59.97,84
BZ,82993,SBMO,MACEIO (AEROPORTO),-9.52,-35.77,117
BZ,82098,SBMQ,MACAPA,0.05,-51.07,15
BZ,82591,SBMS,MOSSORO,-5.2,-37.37,23
BZ,83779,SBMT,SAO PAULO (CAMPO DE MARTE),23.52,-46.62,722
BZ,82533,SBMY,MANICORE,-5.82,-61.28,50
BZ,82184,SBMZ,PORTO DE MOZ,-1.73,-52.25,16
BZ,83926,SBNF,NAVEGANTES (AEROPORTO),26.88,-48.65,5
BZ,-,SBNM,AEROP. SANTO ANGELO - R,28.27,-54.17,322
BZ,82599,SBNT,NATAL (AEROPORTO),-5.92,-35.25,52
BZ,82017,SBOI,OIAPOQUE,3.85,-51.82,39
BZ,83971,SBPA,PORTO ALEGRE (AEROPORTO),30,-51.17,3
BZ,82288,SBPB,PARNAIBA (AEROPORTO),-2.92,-41.75,5
BZ,83644,SBPC,POCOS DE CALDAS (AEROPORTO),21.85,-46.57,1260
BZ,83914,SBPF,PASSO FUNDO,28.25,-52.33,684
BZ,83844,SBPG,PARANAGUA,25.52,-48.52,5
BZ,83055,SBPI,PICO COUTO,-22.45,-43.28,0
BZ,83065,SBPJ,PALMAS-TO (AEROPORTO),10.28,-48.37,238
BZ,83985,SBPK,PELOTAS,31.72,-52.33,13
BZ,82984,SBPL,PETROLINA (AEROPORTO),-9.37,-40.57,375
BZ,83063,SBPN,PORTO NACIONAL (AEROPORTO),10.72,-48.38,265
BZ,83703,SBPP,PONTA PORA (AEROPORTO),22.55,-55.7,660
BZ,83571,SBPR,BELO HORIZONTE (AEROP. C.PRATES),19.9,-43.98,927
BZ,83460,SBPS,PORTO SEGURO (AEROPORTO),16.43,-39.07,51
BZ,82824,SBPV,PORTO VELHO (AEROPORTO),-8.72,-63.9,102
BZ,83706,SBPW,PINDAMONHANGABA,-22.97,-45.48,570
BZ,83344,SBQV,VITORIA DA CONQUISTA,14.87,-40.87,874
BZ,82917,SBRB,RIO BRANCO (AEROPORTO),10,-67.78,143
BZ,82899,SBRF,RECIFE (AEROPORTO),-8.13,-34.92,19
BZ,83995,SBRG,RIO GRANDE,32.02,-52.08,2
BZ,83755,SBRJ,RIO DE JANEIRO (AER.S.DUMONT),22.88,-43.17,3
BZ,83668,SBRP,RIBEIRAO PRETO,21.12,-47.77,621
BZ,83058,SBRQ,SAO ROQUE,23.52,-47.12,750
BZ,83738,SBRS,RESENDE,22.47,-44.47,440
BZ,83726,SBSA,SAO CARLOS,22.02,-47.87,856
BZ,83115,SBSC,SANTA CRUZ (BORTOLOMEU GUSMAO AERO),22.92,-43.72,3
BZ,83829,SBSJ,SAO JOSE DOS CAMPOS (AEROPORTO),23.22,-45.87,646
BZ,82280,SBSL,SBSL (82280) IN SAO LUIZ AEROPORTO,-2.6,-44.22,
BZ,83937,SBSM,SANTA MARIA (AEROPORTO),29.72,-53.7,85
BZ,82244,SBSN,SANTAREM (AEROPORTO),-2.42,-54.78,72
BZ,83780,SBSP,SAO PAULO (AEROPORTO CONGONHAS),23.62,-46.63,803
BZ,-,SBSR,SAO JOSE DO RIO PRET,20.8,-49.4,543
BZ,83818,SBST,SANTOS (AEROPORTO),23.92,-46.28,3
BZ,83248,SBSV,SALVADOR (AEROPORTO),12.9,-38.32,6
BZ,83156,SBSY,SANTA ISABEL DO MORRO,11.57,-50.67,197
BZ,-,SBTA,TAUBATE-SP (BASE AVIACAO TAUBATE,23.03,-45.5,586
BZ,-,SBTB,ORIXIMINA (AEROPORTO TROMBETAS)-,-1.48,-56.38,87
BZ,-,SBTC,UNA - AER. HOTEL TRANSAMERIC,15.35,-38.98,6
BZ,-,SBTD,TOLEDO,24.68,-53.7,565
BZ,82579,SBTE,TERESINA (AER. PETRONIO PORTELA),-5.03,-42.82,69
BZ,82317,SBTF,TEFE,-3.37,-64.72,47
BZ,82808,SBTK,TARAUACA (AEROPORTO),-8.17,-70.77,188
BZ,-,SBTL,TELEMACO BORBA,24.32,-50.65,796
BZ,83948,SBTR,TORRES,29.35,-49.73,31
BZ,82026,SBTS,TIRIOS,-2.22,-55.93,325
BZ,82411,SBTT,TABATINGA (AEROPORTO),-4.25,-69.93,81
BZ,82361,SBTU,TUCURUI,-3.78,-49.72,40
BZ,82107,SBUA,SAO GABRIEL DA CACHOEIRA (AERO),-0.15,-66.98,79
BZ,82986,SBUF,PAULO AFONSO,-9.4,-38.25,253
BZ,83928,SBUG,URUGUAIANA (AEROPORTO),29.77,-57.02,74
BZ,82418,SBUI,CARAUARI,-4.95,-66.9,66
BZ,83525,SBUL,UBERLANDIA (AEROPORTO),18.87,-48.22,943
BZ,83617,SBUP,URUBUPUNGA,20.8,-51.57,356
BZ,83576,SBUR,UBERABA (AEROPORTO),19.77,-47.97,807
BZ,-,SBUY,PORTO URUCU,-4.88,-65.35,
BZ,-,SBVG,VARGINHA (AER.BRIG. TROMPOWSKY,21.58,-45.47,923
BZ,83208,SBVH,VILHENA (AEROPORTO),12.72,-60.12,612
BZ,83649,SBVT,VITORIA (AER. GOIABEIRAS),20.27,-40.27,4
BZ,82900,SBWF,RECIFE,-8.05,-34.92,7
BZ,83897,SBXF,FLORIANOPOLIS,-27.58,-48.57,2
BZ,-,SBXI,CACHIMBO-IN-PAR,-9.35,-54.88,
BZ,82994,SBXM,MACEIO,-9.67,-35.7,65
BZ,83766,SBXO,LONDRINA,-23.38,-51.18,566
BZ,83781,SBXP,SAO PAULO,-23.5,-46.62,792
BZ,83319,SBXV,NOVA XAVANTINA,14.68,-52.35,316
BZ,82068,SBYA,IAUARETE (AEROPORTO),0.62,-69.2,105
BZ,83671,SBYS,PIRASSUNUNGA,21.97,-47.32,598
BZ,82276,SNCW,ALCANTARA (CLA),-2.37,-44.4,45
BZ,82113,SWBC,BARCELOS,-0.97,-62.92,40
BZ,-,SWPI,PARINTINS,-2.67,-56.78,27
